CHILD,DOB,DATE_PLACED,DATE_PLACED_CEASED,REASON_PLACED_CEASED
681313,30/04/2007,22/03/2017,10/03/2022,XXX
161169,13/06/2012,09/09/2016,29/06/2019,XXX
182018,29/11/2011,30/05/2016,27/06/2020,XXX
893304,25/10/2006,16/01/2017,20/01/2020,XXX
766810,28/12/2011,12/08/2016,27/05/2019,XXX
98246,03/04/2004,13/11/2016,24/07/2019,XXX
711598,14/03/2013,26/04/2016,22/06/2019,XXX
620278,13/02/2005,21/06/2016,24/06/2019,XXX
899312,02/11/2012,05/09/2016,03/04/2018,XXX
620265,18/05/2010,23/12/2016,10/05/2020,XXX
857943,12/01/2014,06/01/2017,12/07/2018,XXX
937161,21/05/2009,08/01/2017,26/01/2019,XXX
268598,01/08/2007,20/12/2016,12/03/2020,XXX
686919,24/10/2006,02/06/2016,02/05/2018,XXX
336957,14/11/2014,29/08/2016,18/11/2018,XXX
267030,27/05/2007,18/09/2016,24/12/2020,XXX
83442,12/06/2010,21/01/2017,01/02/2021,XXX
238165,25/08/2006,11/10/2016,27/08/2020,XXX
515062,07/07/2006,26/01/2017,21/11/2019,XXX
772261,26/10/2002,02/06/2016,23/09/2017,XXX
397990,09/10/2005,07/11/2016,10/09/2018,XXX
104403,08/08/2009,17/10/2016,28/09/2020,XXX
438553,13/12/2003,03/12/2016,05/06/2019,XXX
725981,05/12/2014,25/12/2016,21/02/2019,XXX
301291,24/04/2003,05/03/2017,05/02/2019,XXX
770918,04/01/2003,26/03/2017,28/05/2018,XXX
621108,15/12/2012,29/12/2016,16/10/2018,XXX
541132,13/06/2007,12/01/2017,06/04/2020,XXX
369311,23/07/2012,26/11/2016,10/08/2019,XXX
623683,17/06/2006,12/05/2016,01/03/2019,XXX
490444,03/02/2015,02/11/2016,29/08/2020,XXX
573311,28/08/2002,14/03/2017,27/08/2019,XXX
29891,28/12/2008,12/03/2017,26/06/2018,XXX
780831,05/02/2010,15/02/2017,01/03/2020,XXX
89760,13/12/2006,23/02/2017,16/02/2019,XXX
150146,28/10/2002,19/08/2016,22/10/2020,XXX
132717,22/03/2005,11/03/2017,27/12/2018,XXX
757984,30/06/2009,14/07/2016,01/03/2021,XXX
697348,24/10/2009,27/05/2016,08/12/2017,XXX
331809,31/08/2014,16/05/2016,22/04/2019,XXX
665226,13/12/2006,22/05/2016,02/11/2018,XXX
279974,18/10/2006,06/07/2016,23/03/2021,XXX
101625,14/07/2005,22/05/2016,01/01/2018,XXX
861272,05/08/2009,01/02/2017,24/08/2020,XXX
513735,28/12/2011,04/04/2016,06/05/2020,XXX
721833,21/12/2013,05/06/2016,16/08/2018,XXX
162791,10/05/2013,02/12/2016,07/10/2019,XXX
903559,19/09/2008,06/06/2016,09/12/2018,XXX
823667,31/12/2008,16/05/2016,09/02/2018,XXX
980729,19/01/2014,08/12/2016,27/07/2020,XXX
366123,21/08/2003,18/12/2016,21/11/2021,XXX
349240,05/10/2006,09/01/2017,20/06/2021,XXX
752660,27/09/2009,18/07/2016,29/08/2018,XXX
